STRIKER,Batting Postion
DK Anefie,7
DK Mathias,4
DL Chahar,8
DM Bravo,4
DM de Silva,4
DM Nakrani,5
DMW Rawlins,4
DO Leicher,7
DP Conway,3
DR Sams,6
DS Airee,4
DS Kulkarni,10
DT Christian,5
DT Tiripano,8
DV Macome,9
DW Steyn,9
E Chigumbura,6
E Dusingizimana,2
E Ernest,7
E Hasahya,2
E Haven,9
E Kubwimana,10
E Lewis,2
E Munkhbat,10
E Niyomugabo,5
E Ochieng,8
E Otgonbayar,3
E Otieno,10
E Rukiriza,9
E Sebareme,7
EB Ringera,8
ED Silva,6
Ehsan Khan,8
EJB Miles,11
EJG Morgan,5
Eric Phiri,7
F Achelam,7
F Akankwasa,7
F Damiao Couana,2
F du Plessis,3
F Hand,9
F Mutua,9
F Nsubuga,9
FA Allen,8
FA Cossa,5
Faheem Ashraf,7
Faisal Khan,2
Faisal Mubashir,4
Fakhar Zaman,2
Fareed Ahmad,10
Fayaz Khan,7
Fayyaz Butt,10
Fazalhaq Farooqi,11
FE Carava,6
FH Allen,1
FH Edwards,10
Fitri Sham,8
FJ Klaassen,9
FN Walsh,9
G Bakiweyem,8
G Chohan,8
G Coetzee,8
G Kansonkho,2
G Malla,3
G Motie,11
G Ngegba,2
G Sesay,7
G Singh,5
G Stewart,3
G Van Heerden,3
Gagandeep Singh,9
Garret Banner,9
GD Phillips,4
GF Linde,6
GG Banner,6
GH Dockrell,7
GHS Garton,7
Ghulam Ahmadi,10
GI Hume,10
GJ Delany,5
GJ Maxwell,4
GJ Snyman,3
GJ van Rensburg,5
GK Berg,6
GM Muthui,9
GM Ntambalika,5
GP Meade,5
GR Adair,2
GR Russ,5
GS Ballance,3
GT Main,9
GT Taylor,4
Gulbadin Naib,6
Gulsan Jha,6
Gurdeep Singh,1
Gurkeerat Singh,6
H Carlyon,1
H Hiri,5
H Isorena,4
H Klaasen,5
H Klazinge,10
H Patel,2
H Pieterse,2
H Rashid,6
H Rathod,7
H Ssenyondo,11
H Thaker,5
HA Chohan,8
Haider Ali,4
Haider Butt,5
HAM Shah,2
Hamza Khan,3
Hamza Tahir,11
Hamza Tariq,6
Harbhajan Singh,7
Haris Rauf,10
Haroon Arshad,7
Harpreet Brar,8
Harpreet Singh,5
Harshit Rana,11
Hasan Ali,8
Hasan Mahmud,10
Haseeb Ghafoor,6
Haseebullah Khan,1
Hashmatullah Shahidi,5
Hazrat Luqman,9
Hazratullah,1
HB Kayondo,2
HB Shipley,10
HC Brook,4
HE van der Dussen,4
HER Tyler,3
HG Munsey,1
HGV Vare,7
HH Pandya,5
Hisham Sheikh,6
HJ Manenti,6
HL Harji,9
HM Nicholls,5
HN Ya France,9
HR Shokeen,8
HR Walsh,7
HT Tector,4
Hussain Talat,3
Huzaifa Mohammed,9
HV Patel,8
I Danladi,5
I Kaia,2
I Kamara,5
I Liyanage,3
I Mansaray,3
I Master,7
I Mugisha,11
I Ntirenganya,11
I Sharma,10
I Takahashi,6
I Tchakou,4
I Udana,8
IA Karim,3
Ibrahim Zadran,3
Iftikhar Ahmed,5
IG Holland,4
Ihsanullah,5
II Selemani,2
Ijaz Ahmad Ahmadzai,7
Imad Wasim,7
Imran Ali Butt,3
Imran Anwar,4
Imran Khan,7
Imran Tahir,10
Imran Yousaf,10
IO Okpe,6
Iqbal Hossain,2
Irfan Sarfraz,6
Irshad Mubbashar,7
IS Sodhi,9
Ishan Kishan,3
Ishtiaq Ahmad,10
J Alegra,4
J Baguma,9
J Bangura,4
J Broad,1
J Bulele,1
J Campbell,3
J Charles,2
J Dickinson,8
J Ghadiyali,5
J Hill,4
J Jarvis,6
J Kariko,10
J Kila,8
J Little,10
J Liyanage,4
J Masquater,2
J Miyaji,8
J Mosca,1
J Rasu,4
J Sebanja,10
J Suchith,8
J Sumerauer,6
J Theron,9
J van Heerden,2
J Vira,7
J Yadav,9
JA Clarkson,6
JA Duffy,11
JA Richardson,8
JAD Lawrenson,5
Jaker Ali,6
Janak Prakash,6
Jaspreet Singh,8
Jassim Khan,6
Jatinder Singh,2
Jaweed Sadran,8
JB Abega,5
JC Archer,8
JC Balt,6
JC Buttler,3
JC Darji,4
JD Allan,3
JD Unadkat,9
JDF Vandersay,10
JDS Neesham,6
JE Dunford,8
JE Root,4
JEA Doctora,5
JF Chester,11
JH Davey,9
Jitin Singh,4
JJ Atkinson,3
JJ Bumrah,10
JJ Huo,4
JJ Nyambo,10
JJ Roy,1
JJ Smit,6
JK Mukhiya,11
JK Vifah,2
JL Pattinson,8
JM Bairstow,3
JM Iradukunda,11
JM Joao,4
JM Sharma,5
JM Vince,3
JN Frylinck,6
JN Loftie-Eaton,5
JN Malan,1
JO Adedeji,4
JO Holder,7
Joshua Asia,11
JP Behrendorff,10
JP Inglis,3
JP Kaltapau,4
JP Kotze,3
JR Barry,5
JR Hazlewood,11
JR Philippe,2
JS Malhotra,3
JT Brassell,9
JT Smuts,2
Junaid Aziz,6
Junaid Siddique,5
Junaid Siddiqui,8
JW Jenner,4
JWW Gardner,11
K Bhurtel,1
K Birkenstock,6
K Doriga,6
K Gore,9
K Gowtham,7
K Hinds,5
K Irakoze,7
K Kadowaki-Fleming,3
K Kartikeya,10
K Klein,10
K Kubota,10
K Mishara,3
K Motlanka,2
K Nassoro,5
K Piet,8
K Rabada,8
K Sinclair,10
K Waiswa,5
K Yadav,10
KA Jamieson,8
KA Maharaj,8
KA Pollard,5
Kaleem Sana,9
Kaleemullah,10
Kapil Kumar,4
Karan KC,8
Karim Janat,6
Kartik Tyagi,9
Kashif Daud,6
Kashif Siddique,3
KD Karthik,5
KD Shah,4
KDA Lukies,9
KH Pandya,6
KH Prajapati,1
Khalid Kail,5
Khalid Shah,2
Khawar Ali,2
Khizar Hayat,7
Khurram Nawaz,5
Khushdil Shah,5
KIC Asalanka,4
KJ Coetzer,2
KJ O'Brien,4
KJ Patel,11
KJ Young,3
KK Ahmed,10
KK Nair,3
KK Tillett,6
KL Nagarkoti,9
KL Rahul,2
KM Asif,10
KM Awala,5
KM Jadhav,5
KMA Paul,8
KNA Bandara,6
KP Meiyappan,9
KR Mayers,2
KR Sen,11
KS Airee,8
KS Bagabena,9
KS Bharat,3
KS Leverock,3
KS Sharma,3
KS Williamson,3
Kuldeep Yadav,9
Kushal Malla,4
KV Morea,10
KV Sharma,7
KW Richardson,9
L Botha,4
L Croospulle,2
L Emilio,5
L Erdenebulgan,4
L Gregory,6
L Lamin,5
L Ngidi,10
L Siaka,3
L Sipamla,10
L Tucker,4
L Wood,8
L Yamamoto-Lake,1
LA Dawson,8
LA Musiani,3
LA Simango,10
Lalit Yadav,6
LB Williams,9
LD Chandimal,4
LD Madushanka,7
LH Ferguson,10
Liton Das,2
LM Jongwe,8
LMP Simmons,2
LN Oluoch,8
Lokesh Bam,6
LRPL Taylor,4
LS Livingstone,3
LU Igalagamage,6
Lucky Ali,5
LV van Beek,8
M Abdulla,5
M Aboagye,7
M Akayezu,7
M Altankhuyag,8
M Ashwin,8
M Bhanuka,3
M Campopiano,3
M Charlie,9
M Coetzee,1
M Faraz Akram,9
M Jansen,7
M Jele,9
